Assay_Type	AssemblyName	AvgSpotLen	BioProject	BioSample	BioSampleModel	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	DATASTORE_region	ENA_FIRST_PUBLIC	ENA_LAST_UPDATE	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Library_Name	LoadDate	MBases	MBytes	Organism	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	age	batch	biomaterial_provider	cell_subtype	cell_type	isolate	phenotype	sex	source_name	tissue	wellID	wellKey
RNA-Seq		100	PRJNA483133	SAMN09726574		GEO	public	fastq sra	gs s3	gs.US s3.us-east-1			SRX4475080	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1616	683	Homo sapiens	ILLUMINA	2018-09-25	SRR7610213	SRS3600235	SRP155483	GSM3308466	78				White blood cells		Rheumatoid arthritis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726573		GEO	public	fastq sra	gs s3	gs.US s3.us-east-1			SRX4475081	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1491	635	Homo sapiens	ILLUMINA	2018-09-25	SRR7610214	SRS3600236	SRP155483	GSM3308467	71				White blood cells		Rheumatoid arthritis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726572		GEO	public	fastq sra	gs s3	gs.US s3.us-east-1			SRX4475082	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1335	572	Homo sapiens	ILLUMINA	2018-09-25	SRR7610215	SRS3600237	SRP155483	GSM3308468	45				White blood cells		Rheumatoid arthritis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726571		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4475083	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1520	640	Homo sapiens	ILLUMINA	2018-09-25	SRR7610216	SRS3600238	SRP155483	GSM3308469	67				White blood cells		Rheumatoid arthritis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726570		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4475084	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1618	686	Homo sapiens	ILLUMINA	2018-09-25	SRR7610217	SRS3600239	SRP155483	GSM3308470	74				White blood cells		Rheumatoid arthritis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726569		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4475085	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1458	624	Homo sapiens	ILLUMINA	2018-09-25	SRR7610218	SRS3600240	SRP155483	GSM3308471	71				White blood cells		Rheumatoid arthritis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726568		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4475086	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1311	557	Homo sapiens	ILLUMINA	2018-09-25	SRR7610219	SRS3600241	SRP155483	GSM3308472	59				White blood cells		Rheumatoid arthritis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726567		GEO	public	fastq sra	gs s3	gs.US s3.us-east-1			SRX4475087	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1496	634	Homo sapiens	ILLUMINA	2018-09-25	SRR7610220	SRS3600242	SRP155483	GSM3308473	56				White blood cells		Rheumatoid arthritis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726566		GEO	public	fastq sra	gs s3	gs.US s3.us-east-1			SRX4475088	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1411	597	Homo sapiens	ILLUMINA	2018-09-25	SRR7610221	SRS3600243	SRP155483	GSM3308474	32				White blood cells		Rheumatoid arthritis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726565		GEO	public	fastq sra	gs s3	gs.US s3.us-east-1			SRX4475089	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1542	662	Homo sapiens	ILLUMINA	2018-09-25	SRR7610222	SRS3600244	SRP155483	GSM3308475	33				White blood cells		Ankylosing spondylitis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726564		GEO	public	fastq sra	gs s3	gs.US s3.us-east-1			SRX4475090	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1483	619	Homo sapiens	ILLUMINA	2018-09-25	SRR7610223	SRS3600245	SRP155483	GSM3308476	59				White blood cells		Rheumatoid arthritis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726562		GEO	public	fastq sra	gs s3	gs.US s3.us-east-1			SRX4475092	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1563	662	Homo sapiens	ILLUMINA	2018-09-25	SRR7610225	SRS3600246	SRP155483	GSM3308478	64				White blood cells		Rheumatoid arthritis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726563		GEO	public	fastq sra	gs s3	gs.US s3.us-east-1			SRX4475091	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1440	606	Homo sapiens	ILLUMINA	2018-09-25	SRR7610224	SRS3600247	SRP155483	GSM3308477	66				White blood cells		Psoriatic arthritis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726561		GEO	public	fastq sra	gs s3	gs.US s3.us-east-1			SRX4475093	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1599	672	Homo sapiens	ILLUMINA	2018-09-25	SRR7610226	SRS3600248	SRP155483	GSM3308479	59				White blood cells		Rheumatoid arthritis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726600		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4475094	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1435	605	Homo sapiens	ILLUMINA	2018-09-25	SRR7610227	SRS3600249	SRP155483	GSM3308480	74				White blood cells		Psoriatic arthritis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726599		GEO	public	fastq sra	gs s3	gs.US s3.us-east-1			SRX4475095	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1494	627	Homo sapiens	ILLUMINA	2018-09-25	SRR7610228	SRS3600250	SRP155483	GSM3308481	63				White blood cells		Psoriatic arthritis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726598		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4475096	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1459	623	Homo sapiens	ILLUMINA	2018-09-25	SRR7610229	SRS3600251	SRP155483	GSM3308482	64				White blood cells		Psoriatic arthritis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726597		GEO	public	fastq sra	gs s3	gs.US s3.us-east-1			SRX4475097	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1487	634	Homo sapiens	ILLUMINA	2018-09-25	SRR7610230	SRS3600252	SRP155483	GSM3308483	41				White blood cells		Ankylosing spondylitis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726596		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4475098	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1570	663	Homo sapiens	ILLUMINA	2018-09-25	SRR7610231	SRS3600253	SRP155483	GSM3308484	33				White blood cells		Psoriatic arthritis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726602		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4475099	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1304	544	Homo sapiens	ILLUMINA	2018-09-25	SRR7610232	SRS3600254	SRP155483	GSM3308485	28				White blood cells		Ankylosing spondylitis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726601		GEO	public	fastq sra	gs s3	gs.US s3.us-east-1			SRX4475100	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1522	648	Homo sapiens	ILLUMINA	2018-09-25	SRR7610233	SRS3600255	SRP155483	GSM3308486	47				White blood cells		Ankylosing spondylitis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726595		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4475101	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1542	656	Homo sapiens	ILLUMINA	2018-09-25	SRR7610234	SRS3600256	SRP155483	GSM3308487	61				White blood cells		Psoriatic arthritis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726594		GEO	public	fastq sra	gs s3	gs.US s3.us-east-1			SRX4475102	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1583	672	Homo sapiens	ILLUMINA	2018-09-25	SRR7610235	SRS3600257	SRP155483	GSM3308488	45				White blood cells		Ankylosing spondylitis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726593		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4475103	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1482	624	Homo sapiens	ILLUMINA	2018-09-25	SRR7610236	SRS3600258	SRP155483	GSM3308489	35				White blood cells		Ankylosing spondylitis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726592		GEO	public	fastq sra	gs s3	gs.US s3.us-east-1			SRX4475104	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1607	679	Homo sapiens	ILLUMINA	2018-09-25	SRR7610237	SRS3600259	SRP155483	GSM3308490	44				White blood cells		Rheumatoid arthritis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726591		GEO	public	fastq sra	gs s3	gs.US s3.us-east-1			SRX4475105	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1508	640	Homo sapiens	ILLUMINA	2018-09-25	SRR7610238	SRS3600260	SRP155483	GSM3308491	20				White blood cells		Rheumatoid arthritis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726590		GEO	public	fastq sra	gs s3	gs.US s3.us-east-1			SRX4475106	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1535	662	Homo sapiens	ILLUMINA	2018-09-25	SRR7610239	SRS3600261	SRP155483	GSM3308492	69				White blood cells		Rheumatoid arthritis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726642		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4475107	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1415	593	Homo sapiens	ILLUMINA	2018-09-25	SRR7610240	SRS3600262	SRP155483	GSM3308493	55				White blood cells		Rheumatoid arthritis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726641		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4475108	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1608	680	Homo sapiens	ILLUMINA	2018-09-25	SRR7610241	SRS3600263	SRP155483	GSM3308494	29				White blood cells		Psoriatic arthritis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726640		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4475109	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1562	658	Homo sapiens	ILLUMINA	2018-09-25	SRR7610242	SRS3600264	SRP155483	GSM3308495	54				White blood cells		Psoriatic arthritis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726638		GEO	public	fastq sra	gs s3	gs.US s3.us-east-1			SRX4475111	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1430	607	Homo sapiens	ILLUMINA	2018-09-25	SRR7610244	SRS3600265	SRP155483	GSM3308497	61				White blood cells		Rheumatoid arthritis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726639		GEO	public	fastq sra	gs s3	gs.US s3.us-east-1			SRX4475110	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1402	602	Homo sapiens	ILLUMINA	2018-09-25	SRR7610243	SRS3600266	SRP155483	GSM3308496	70				White blood cells		Rheumatoid arthritis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726637		GEO	public	fastq sra	gs s3	gs.US s3.us-east-1			SRX4475112	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1517	652	Homo sapiens	ILLUMINA	2018-09-25	SRR7610245	SRS3600267	SRP155483	GSM3308498	37				White blood cells		Rheumatoid arthritis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726636		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4475113	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1581	678	Homo sapiens	ILLUMINA	2018-09-25	SRR7610246	SRS3600268	SRP155483	GSM3308499	63				White blood cells		Rheumatoid arthritis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726635		GEO	public	fastq sra	gs s3	gs.US s3.us-east-1			SRX4475114	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1499	623	Homo sapiens	ILLUMINA	2018-09-25	SRR7610247	SRS3600269	SRP155483	GSM3308500	49				White blood cells		Rheumatoid arthritis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726634		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4475115	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1506	639	Homo sapiens	ILLUMINA	2018-09-25	SRR7610248	SRS3600270	SRP155483	GSM3308501	53				White blood cells		Rheumatoid arthritis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726633		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4475116	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1577	665	Homo sapiens	ILLUMINA	2018-09-25	SRR7610249	SRS3600271	SRP155483	GSM3308502	67				White blood cells		Rheumatoid arthritis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726632		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4475117	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1520	659	Homo sapiens	ILLUMINA	2018-09-25	SRR7610250	SRS3600272	SRP155483	GSM3308503	29				White blood cells		Rheumatoid arthritis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726629		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4475120	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1446	620	Homo sapiens	ILLUMINA	2018-09-25	SRR7610253	SRS3600273	SRP155483	GSM3308506	55				White blood cells		Rheumatoid arthritis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726631		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4475118	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1565	662	Homo sapiens	ILLUMINA	2018-09-25	SRR7610251	SRS3600274	SRP155483	GSM3308504	59				White blood cells		Rheumatoid arthritis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726630		GEO	public	fastq sra	gs s3	gs.US s3.us-east-1			SRX4475119	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1317	556	Homo sapiens	ILLUMINA	2018-09-25	SRR7610252	SRS3600275	SRP155483	GSM3308505	63				White blood cells		Rheumatoid arthritis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726628		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4475121	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1442	619	Homo sapiens	ILLUMINA	2018-09-25	SRR7610254	SRS3600276	SRP155483	GSM3308507	57				White blood cells		Rheumatoid arthritis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726627		GEO	public	fastq sra	gs s3	gs.US s3.us-east-1			SRX4475122	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1596	685	Homo sapiens	ILLUMINA	2018-09-25	SRR7610255	SRS3600277	SRP155483	GSM3308508	46				White blood cells		Rheumatoid arthritis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726553		GEO	public	fastq sra	gs s3	gs.US s3.us-east-1			SRX4475124	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1389	581	Homo sapiens	ILLUMINA	2018-09-25	SRR7610257	SRS3600278	SRP155483	GSM3308510	54				White blood cells		Rheumatoid arthritis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726626		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4475123	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1389	578	Homo sapiens	ILLUMINA	2018-09-25	SRR7610256	SRS3600279	SRP155483	GSM3308509	58				White blood cells		Rheumatoid arthritis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726552		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4475125	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1592	673	Homo sapiens	ILLUMINA	2018-09-25	SRR7610258	SRS3600280	SRP155483	GSM3308511	34				White blood cells		Rheumatoid arthritis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726551		GEO	public	fastq sra	gs s3	gs.US s3.us-east-1			SRX4475126	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1559	665	Homo sapiens	ILLUMINA	2018-09-25	SRR7610259	SRS3600281	SRP155483	GSM3308512	40				White blood cells		Psoriatic arthritis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726550		GEO	public	fastq sra	gs s3	gs.US s3.us-east-1			SRX4475127	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1306	555	Homo sapiens	ILLUMINA	2018-09-25	SRR7610260	SRS3600282	SRP155483	GSM3308513	52				White blood cells		Rheumatoid arthritis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726549		GEO	public	fastq sra	gs s3	gs.US s3.us-east-1			SRX4475128	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1354	574	Homo sapiens	ILLUMINA	2018-09-25	SRR7610261	SRS3600283	SRP155483	GSM3308514	54				White blood cells		Rheumatoid or Psoriatic arthritis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726548		GEO	public	fastq sra	gs s3	gs.US s3.us-east-1			SRX4475129	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1453	613	Homo sapiens	ILLUMINA	2018-09-25	SRR7610262	SRS3600284	SRP155483	GSM3308515	32				White blood cells		Ankylosing spondylitis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726547		GEO	public	fastq sra	gs s3	gs.US s3.us-east-1			SRX4475130	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1547	661	Homo sapiens	ILLUMINA	2018-09-25	SRR7610263	SRS3600285	SRP155483	GSM3308516	48				White blood cells		Ankylosing spondylitis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726546		GEO	public	fastq sra	gs s3 sra-sos	gs.US s3.us-east-1 sra-sos.be-md sra-sos.st-va			SRX4475131	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1434	606	Homo sapiens	ILLUMINA	2018-09-25	SRR7610264	SRS3600286	SRP155483	GSM3308517	55				White blood cells		Psoriatic arthritis		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726545		GEO	public	fastq sra	gs s3	gs.US s3.us-east-1			SRX4475132	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1518	647	Homo sapiens	ILLUMINA	2018-09-25	SRR7610265	SRS3600287	SRP155483	GSM3308518	41				White blood cells		Healthy		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726543		GEO	public	fastq sra	gs s3	gs.US s3.us-east-1			SRX4475134	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1465	621	Homo sapiens	ILLUMINA	2018-09-25	SRR7610267	SRS3600288	SRP155483	GSM3308520	29				White blood cells		Healthy		RNA from white blood cells	Blood		
RNA-Seq		100	PRJNA483133	SAMN09726544		GEO	public	fastq sra	gs s3	gs.US s3.us-east-1			SRX4475133	0	Illumina HiSeq 2500	SINGLE	cDNA	TRANSCRIPTOMIC		2018-07-27	1545	655	Homo sapiens	ILLUMINA	2018-09-25	SRR7610266	SRS3600289	SRP155483	GSM3308519	38				White blood cells		Healthy		RNA from white blood cells	Blood		
RNA-Seq		50	PRJNA484871	SAMN09771131		GEO	none	fastq sra	gs s3	gs.US s3.us-east-1			SRX4514512	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC		2018-10-10	63	26	Homo sapiens	ILLUMINA	2018-09-25	SRR7651747	SRS3633035	SRP156530	GSM3321061					TCM				CD4 T			
RNA-Seq		50	PRJNA484871	SAMN09771131		GEO	none	fastq sra	gs s3	gs.US s3.us-east-1			SRX4514512	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC		2018-10-10	64	26	Homo sapiens	ILLUMINA	2018-09-25	SRR7651748	SRS3633035	SRP156530	GSM3321061					TCM				CD4 T			
RNA-Seq		50	PRJNA484871	SAMN09771131		GEO	none	fastq sra	gs s3	gs.US s3.us-east-1			SRX4514512	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC		2018-10-10	64	26	Homo sapiens	ILLUMINA	2018-09-25	SRR7651749	SRS3633035	SRP156530	GSM3321061					TCM				CD4 T			
RNA-Seq		50	PRJNA484871	SAMN09771131		GEO	none	fastq sra	gs s3	gs.US s3.us-east-1			SRX4514512	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC		2018-10-10	64	26	Homo sapiens	ILLUMINA	2018-09-25	SRR7651750	SRS3633035	SRP156530	GSM3321061					TCM				CD4 T			
RNA-Seq		50	PRJNA484871	SAMN09771130		GEO	none	fastq sra	gs s3	gs.US s3.us-east-1			SRX4514513	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC		2018-10-10	63	25	Homo sapiens	ILLUMINA	2018-09-25	SRR7651751	SRS3633036	SRP156530	GSM3321062					DR+27-				CD4 T			
RNA-Seq		50	PRJNA484871	SAMN09771130		GEO	none	fastq sra	gs s3	gs.US s3.us-east-1			SRX4514513	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC		2018-10-10	64	26	Homo sapiens	ILLUMINA	2018-09-25	SRR7651752	SRS3633036	SRP156530	GSM3321062					DR+27-				CD4 T			
RNA-Seq		50	PRJNA484871	SAMN09771130		GEO	none	fastq sra	gs s3	gs.US s3.us-east-1			SRX4514513	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC		2018-10-10	64	26	Homo sapiens	ILLUMINA	2018-09-25	SRR7651753	SRS3633036	SRP156530	GSM3321062					DR+27-				CD4 T			
RNA-Seq		50	PRJNA484871	SAMN09771130		GEO	none	fastq sra	gs s3	gs.US s3.us-east-1			SRX4514513	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC		2018-10-10	64	26	Homo sapiens	ILLUMINA	2018-09-25	SRR7651754	SRS3633036	SRP156530	GSM3321062					DR+27-				CD4 T			
RNA-Seq		50	PRJNA484871	SAMN09771129		GEO	none	fastq sra	gs s3	gs.US s3.us-east-1			SRX4514514	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC		2018-10-10	69	28	Homo sapiens	ILLUMINA	2018-09-25	SRR7651755	SRS3633037	SRP156530	GSM3321063					Tnaive				CD4 T			
RNA-Seq		50	PRJNA484871	SAMN09771129		GEO	none	fastq sra	gs s3	gs.US s3.us-east-1			SRX4514514	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC		2018-10-10	70	28	Homo sapiens	ILLUMINA	2018-09-25	SRR7651756	SRS3633037	SRP156530	GSM3321063					Tnaive				CD4 T			
RNA-Seq		50	PRJNA484871	SAMN09771129		GEO	none	fastq sra	gs s3	gs.US s3.us-east-1			SRX4514514	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC		2018-10-10	70	28	Homo sapiens	ILLUMINA	2018-09-25	SRR7651757	SRS3633037	SRP156530	GSM3321063					Tnaive				CD4 T			
RNA-Seq		50	PRJNA484871	SAMN09771129		GEO	none	fastq sra	gs s3	gs.US s3.us-east-1			SRX4514514	0	Illumina HiSeq 2500	PAIRED	cDNA	TRANSCRIPTOMIC		2018-10-10	70	28	Homo sapiens	ILLUMINA	2018-09-25	SRR7651758	SRS3633037	SRP156530	GSM3321063					Tnaive				CD4 T			
